RepDate,SPName,Capacity,Enrollment,Waitlist,Vacancy
31/10/2017,(ADH) THK Home for the Disabled @ Eunos,88,80,31,8
31/10/2017,(ADH) Metta Home for the Disabled,103,92,10,11
31/10/2017,(ADH) THK Home for the Disabled @ Chai Chee,102,101,0,1
31/10/2017,(ADH) Bishan Home for the Intellectually Disabled,132,127,5,5
31/10/2017,(ADH) Blue Cross Thong Kheng Home,116,106,10,10
31/10/2017,(ADH) Red Cross Home for the Disabled,100,89,9,11
31/10/2017,(ADH) Singapore Cheshire Home,90,76,8,14
30/11/2017,(ADH) THK Home for the Disabled @ Eunos,88,80,29,8
30/11/2017,(ADH) Metta Home for the Disabled,103,91,11,12
30/11/2017,(ADH) THK Home for the Disabled @ Chai Chee,102,101,0,1
30/11/2017,(ADH) Bishan Home for the Intellectually Disabled,132,125,5,7
30/11/2017,(ADH) Blue Cross Thong Kheng Home,116,106,11,10
30/11/2017,(ADH) Red Cross Home for the Disabled,100,89,10,11
30/11/2017,(ADH) Singapore Cheshire Home,90,74,7,16
31/12/2017,(ADH) THK Home for the Disabled @ Eunos,88,82,25,6
31/12/2017,(ADH) Metta Home for the Disabled,103,92,9,11
31/12/2017,(ADH) Bishan Home for the Intellectually Disabled,132,126,3,6
31/12/2017,(ADH) THK Home for the Disabled @ Chai Chee,102,100,0,2
31/12/2017,(ADH) Blue Cross Thong Kheng Home,116,106,13,10
31/12/2017,(ADH) MINDSVille @ Napiri,160,122,14,38
31/12/2017,(ADH) Red Cross Home for the Disabled,100,91,11,9
31/12/2017,(ADH) Singapore Cheshire Home,90,74,7,16
31/7/2017,(ADH) Bishan Home for the Intellectually Disabled,132,127,5,5
31/7/2017,(ADH) THK Home for the Disabled @ Chai Chee,102,101,0,1
31/7/2017,(ADH) THK Home for the Disabled @ Eunos,88,78,32,10
31/7/2017,(ADH) Blue Cross Thong Kheng Home,116,106,5,10
31/7/2017,(ADH) MINDSVille @ Napiri,160,119,29,41
31/7/2017,(ADH) Red Cross Home for the Disabled,100,90,7,10
31/7/2017,(ADH) Singapore Cheshire Home,90,75,8,15
31/8/2017,(ADH) THK Home for the Disabled @ Eunos,88,79,34,9
31/8/2017,(ADH) Metta Home for the Disabled,103,92,6,11
31/8/2017,(ADH) Bishan Home for the Intellectually Disabled,132,127,5,5
31/8/2017,(ADH) THK Home for the Disabled @ Chai Chee,102,101,0,1
31/8/2017,(ADH) Blue Cross Thong Kheng Home,116,106,8,10
31/8/2017,(ADH) Red Cross Home for the Disabled,100,90,8,10
31/8/2017,(ADH) Singapore Cheshire Home,90,77,5,13
30/9/2017,(ADH) THK Home for the Disabled @ Eunos,88,79,32,9
30/9/2017,(ADH) Metta Home for the Disabled,103,90,6,13
30/9/2017,(ADH) Bishan Home for the Intellectually Disabled,132,127,5,5
30/9/2017,(ADH) THK Home for the Disabled @ Chai Chee,102,101,0,1
30/9/2017,(ADH) Blue Cross Thong Kheng Home,116,106,9,10
30/9/2017,(ADH) Red Cross Home for the Disabled,100,89,9,11
30/9/2017,(ADH) Singapore Cheshire Home,90,76,6,14
31/1/2018,(ADH) Bishan Home for the Intellectually Disabled,132,127,1,5
31/1/2018,(ADH) Metta Home for the Disabled,103,91,10,12
31/1/2018,(ADH) MINDSVille @ Napiri,160,123,13,37
31/1/2018,(ADH) Red Cross Home for the Disabled,100,91,11,9
31/1/2018,(ADH) THK Home for the Disabled @ Chai Chee,102,100,0,2
31/1/2018,(ADH) THK Home for the Disabled @ Eunos,88,82,21,6
31/10/2018,(ADH) THK Home for the Disabled @ Eunos,88,83,14,5
31/10/2018,(ADH) THK Home for Disabled @ Sembawang,180,58,50,122
31/10/2018,(ADH) Metta Home for the Disabled,103,89,7,14
31/10/2018,(ADH) MINDSVille @ Napiri,160,123,24,37
31/10/2018,(ADH) Red Cross Home for the Disabled,100,90,7,10
31/10/2018,(ADH) Singapore Cheshire Home,90,74,5,16
30/11/2018,(ADH) THK Home for Disabled @ Sembawang,180,57,50,123
30/11/2018,(ADH) Metta Home for the Disabled,103,89,8,14
30/11/2018,(ADH) MINDSVille @ Napiri,160,125,27,35
30/11/2018,(ADH) Singapore Cheshire Home,90,77,1,13
30/11/2018,(ADH) THK Home for the Disabled @ Chai Chee,102,98,3,4
30/11/2018,(ADH) THK Home for the Disabled @ Eunos,88,83,14,5
31/12/2018,(ADH) THK Home for the Disabled @ Chai Chee,102,97,4,5
31/12/2018,(ADH) Red Cross Home for the Disabled,100,89,9,11
31/12/2018,(ADH) Singapore Cheshire Home,90,74,2,16
28/2/2018,(ADH) Metta Home for the Disabled,103,91,10,12
28/2/2018,(ADH) THK Home for the Disabled @ Chai Chee,102,99,0,3
28/2/2018,(ADH) THK Home for the Disabled @ Eunos,88,82,21,6
28/2/2018,(ADH) MINDSVille @ Napiri,160,122,13,38
31/3/2018,(ADH) Bishan Home for the Intellectually Disabled,132,126,2,6
31/3/2018,(ADH) THK Home for the Disabled @ Eunos,88,81,23,7
31/3/2018,(ADH) Red Cross Home for the Disabled,100,92,15,8
31/3/2018,(ADH) Singapore Cheshire Home,90,75,6,15
30/4/2018,(ADH) THK Home for the Disabled @ Eunos,88,81,21,7
30/4/2018,(ADH) THK Home for Disabled @ Sembawang,180,13,92,167
30/4/2018,(ADH) THK Home for the Disabled @ Chai Chee,102,99,0,3
31/5/2018,(ADH) Blue Cross Thong Kheng Home,116,105,12,11
31/5/2018,(ADH) THK Home for the Disabled @ Chai Chee,102,99,0,3
31/5/2018,(ADH) THK Home for the Disabled @ Eunos,88,82,22,6
30/6/2018,(ADH) Blue Cross Thong Kheng Home,116,105,12,11
30/6/2018,(ADH) Bishan Home for the Intellectually Disabled,132,124,0,8
30/6/2018,(ADH) Red Cross Home for the Disabled,100,92,12,8
31/7/2018,(ADH) THK Home for the Disabled @ Eunos,88,83,24,5
31/7/2018,(ADH) Bishan Home for the Intellectually Disabled,132,120,1,12
31/7/2018,(ADH) Blue Cross Thong Kheng Home,116,106,12,10
31/7/2018,(ADH) Red Cross Home for the Disabled,100,89,7,11
31/7/2018,(ADH) Singapore Cheshire Home,90,77,4,13
31/7/2018,(ADH) THK Home for the Disabled @ Chai Chee,102,97,0,5
30/8/2018,(ADH) THK Home for Disabled @ Sembawang,180,42,59,138
31/8/2018,(ADH) Bishan Home for the Intellectually Disabled,132,122,1,10
30/8/2018,(ADH) Metta Home for the Disabled,103,89,7,14
31/8/2018,(ADH) Singapore Cheshire Home,90,79,5,11
30/9/2018,(ADH) MINDSVille @ Napiri,160,128,33,32
30/9/2018,(ADH) Bishan Home for the Intellectually Disabled,132,122,3,10
30/9/2018,(ADH) Metta Home for the Disabled,103,89,6,14
30/9/2018,(ADH) Singapore Cheshire Home,90,77,3,13
30/9/2018,(ADH) THK Home for Disabled @ Sembawang,180,52,56,128
31/3/2018,(ADH) Metta Home for the Disabled,103,91,8,12
31/3/2018,(ADH) Blue Cross Thong Kheng Home,116,105,8,11
31/3/2018,(ADH) MINDSVille @ Napiri,160,128,17,32
31/3/2018,(ADH) THK Home for the Disabled @ Chai Chee,102,99,0,3
30/4/2018,(ADH) Bishan Home for the Intellectually Disabled,132,126,1,6
30/4/2018,(ADH) MINDSVille @ Napiri,160,131,24,29
30/4/2018,(ADH) Singapore Cheshire Home,90,76,4,14
31/5/2018,(ADH) Singapore Cheshire Home,90,76,3,14
31/5/2018,(ADH) Metta Home for the Disabled,103,91,6,12
31/5/2018,(ADH) MINDSVille @ Napiri,160,124,14,36
31/1/2019,(ADH) THK Home for Disabled @ Sembawang,184,57,44,127
31/1/2019,(ADH) MINDSVille @ Napiri,160,124,27,36
31/1/2019,(ADH) Red Cross Home for the Disabled,100,90,10,10
31/1/2019,(ADH) THK Home for the Disabled @ Eunos,88,84,11,4
31/10/2019,(ADH) THK Home for the Disabled @ Chai Chee,102,99,9,3
31/10/2019,(ADH) Blue Cross Thong Kheng Home,116,96,7,20
31/10/2019,(ADH) Metta Home for the Disabled,103,87,2,16
31/10/2019,(ADH) Singapore Cheshire Home,90,72,5,18
30/11/2019,(ADH) THK Home for the Disabled @ Chai Chee,102,99,10,3
30/11/2019,(ADH) THK Home for Disabled @ Sembawang,180,86,29,94
30/11/2019,(ADH) Bishan Home for the Intellectually Disabled,132,126,1,6
30/11/2019,(ADH) MINDSVille @ Napiri,160,119,31,41
30/11/2019,(ADH) Red Cross Home for the Disabled,100,93,14,7
30/11/2019,(ADH) St Andrew's Adult Home (Sengkang),148,11,19,137
30/11/2019,(ADH) THK Home for the Disabled @ Eunos,88,81,10,7
31/12/2019,(ADH) Singapore Cheshire Home,90,73,5,17
28/2/2019,(ADH) Metta Home for the Disabled,103,88,6,15
28/2/2019,(ADH) MINDSVille @ Napiri,160,120,24,40
31/3/2019,(ADH) THK Home for the Disabled @ Chai Chee,102,99,13,3
31/3/2019,(ADH) Bishan Home for the Intellectually Disabled,132,121,6,11
31/3/2019,(ADH) Singapore Cheshire Home,90,71,3,19
31/3/2019,(ADH) THK Home for the Disabled @ Eunos,88,83,11,5
30/4/2019,(ADH) Bishan Home for the Intellectually Disabled,132,125,2,7
30/4/2019,(ADH) Metta Home for the Disabled,103,90,3,13
30/4/2019,(ADH) MINDSVille @ Napiri,160,125,23,35
30/4/2019,(ADH) Red Cross Home for the Disabled,100,91,5,9
30/4/2019,(ADH) Singapore Cheshire Home,90,70,3,20
31/5/2019,(ADH) St Andrew's Adult Home (Sengkang),148,3,15,145
31/5/2019,(ADH) THK Home for the Disabled @ Chai Chee,102,100,14,2
31/5/2019,(ADH) Metta Home for the Disabled,103,90,3,13
31/5/2019,(ADH) MINDSVille @ Napiri,160,124,28,36
31/5/2019,(ADH) Singapore Cheshire Home,90,69,6,21
31/5/2019,(ADH) THK Home for the Disabled @ Eunos,88,82,10,6
30/6/2019,(ADH) THK Home for the Disabled @ Chai Chee,102,100,15,2
30/6/2019,(ADH) THK Home for the Disabled @ Eunos,88,82,11,6
30/6/2019,(ADH) Bishan Home for the Intellectually Disabled,132,126,1,6
30/6/2019,(ADH) Metta Home for the Disabled,103,90,3,13
30/6/2019,(ADH) Singapore Cheshire Home,90,69,7,21
30/6/2019,(ADH) St Andrew's Adult Home (Sengkang),148,4,17,144
31/7/2019,(ADH) THK Home for the Disabled @ Chai Chee,102,100,13,2
31/7/2019,(ADH) Bishan Home for the Intellectually Disabled,132,126,0,6
31/7/2019,(ADH) Metta Home for the Disabled,103,90,3,13
31/7/2019,(ADH) Red Cross Home for the Disabled,100,92,8,8
31/7/2019,(ADH) St Andrew's Adult Home (Sengkang),148,6,18,142
31/8/2019,(ADH) Bishan Home for the Intellectually Disabled,132,126,0,6
31/8/2019,(ADH) Blue Cross Thong Kheng Home,116,98,4,18
31/8/2019,(ADH) Metta Home for the Disabled,103,89,4,14
31/8/2019,(ADH) MINDSVille @ Napiri,160,123,26,37
31/8/2019,(ADH) St Andrew's Adult Home (Sengkang),148,7,16,141
31/8/2019,(ADH) THK Home for the Disabled @ Eunos,88,83,10,5
30/9/2019,(ADH) THK Home for the Disabled @ Chai Chee,102,99,11,3
30/9/2019,(ADH) Bishan Home for the Intellectually Disabled,132,126,0,6
30/9/2019,(ADH) Blue Cross Thong Kheng Home,116,97,4,19
30/9/2019,(ADH) Metta Home for the Disabled,103,88,3,15
30/9/2019,(ADH) MINDSVille @ Napiri,160,122,32,38
30/9/2019,(ADH) Red Cross Home for the Disabled,100,93,13,7
30/9/2019,(ADH) Singapore Cheshire Home,90,70,5,20
30/9/2019,(ADH) THK Home for Disabled @ Sembawang,180,81,32,99
31/1/2020,(ADH) THK Home for the Disabled @ Chai Chee,102,99,9,3
31/1/2020,(ADH) Bishan Home for the Intellectually Disabled,132,125,0,7
31/1/2020,(ADH) Singapore Cheshire Home,90,74,3,16
31/1/2020,(ADH) THK Home for Disabled @ Sembawang,180,85,40,95
31/10/2020,(ADH) THK Home for the Disabled @ Chai Chee,102,97,8,5
31/10/2020,(ADH) Blue Cross Thong Kheng Home,116,93,5,23
31/10/2020,(ADH) MINDSVille @ Napiri,160,117,29,43
31/10/2020,(ADH) Red Cross Home for the Disabled,100,94,4,6
31/10/2020,(ADH) St Andrew's Adult Home (Sengkang),148,22,18,126
31/10/2020,(ADH) THK Home for Disabled @ Sembawang,180,118,37,62
30/11/2020,(ADH) Bishan Home for the Intellectually Disabled,132,125,0,7
30/11/2020,(ADH) Red Cross Home for the Disabled,100,94,3,6
30/11/2020,(ADH) St Andrew's Adult Home (Sengkang),148,22,18,126
30/11/2020,(ADH) THK Home for Disabled @ Sembawang,180,119,36,61
31/12/2020,(ADH) Bishan Home for the Intellectually Disabled,132,125,0,7
31/12/2020,(ADH) MINDSVille @ Napiri,160,120,29,40
31/12/2020,(ADH) Red Cross Home for the Disabled,100,95,2,5
31/12/2020,(ADH) St Andrew's Adult Home (Sengkang),148,21,17,127
31/12/2020,(ADH) THK Home for the Disabled @ Chai Chee,102,96,11,6
31/12/2020,(ADH) THK Home for Disabled @ Sembawang,180,120,37,60
29/2/2020,(ADH) THK Home for the Disabled @ Chai Chee,102,99,10,3
29/2/2020,(ADH) Blue Cross Thong Kheng Home,116,96,9,20
29/2/2020,(ADH) Red Cross Home for the Disabled,100,95,8,5
29/2/2020,(ADH) Singapore Cheshire Home,90,75,1,15
31/3/2020,(ADH) THK Home for the Disabled @ Chai Chee,102,99,10,3
31/3/2020,(ADH) THK Home for Disabled @ Sembawang,180,82,30,98
31/3/2020,(ADH) Blue Cross Thong Kheng Home,116,97,6,19
31/3/2020,(ADH) Metta Home for the Disabled,103,86,3,17
31/3/2020,(ADH) Singapore Cheshire Home,90,75,1,15
31/3/2020,(ADH) St Andrew's Adult Home (Sengkang),148,13,22,135
31/3/2020,(ADH) THK Home for the Disabled @ Eunos,88,81,12,7
30/4/2020,(ADH) MINDSVille @ Napiri,160,117,26,43
30/4/2020,(ADH) Red Cross Home for the Disabled,100,95,6,5
30/4/2020,(ADH) Singapore Cheshire Home,90,74,0,16
30/4/2020,(ADH) St Andrew's Adult Home (Sengkang),148,13,33,135
30/4/2020,(ADH) THK Home for the Disabled @ Eunos,88,84,12,4
31/5/2020,(ADH) THK Home for the Disabled @ Chai Chee,102,103,13,-1
31/5/2020,(ADH) Bishan Home for the Intellectually Disabled,132,124,2,8
31/5/2020,(ADH) THK Home for the Disabled @ Eunos,88,87,12,1
30/6/2020,(ADH) Blue Cross Thong Kheng Home,116,95,5,21
30/6/2020,(ADH) MINDSVille @ Napiri,160,117,25,43
30/6/2020,(ADH) Red Cross Home for the Disabled,100,95,6,5
30/6/2020,(ADH) THK Home for the Disabled @ Eunos,88,87,12,1
31/7/2020,(ADH) THK Home for the Disabled @ Chai Chee,102,94,13,8
31/7/2020,(ADH) THK Home for the Disabled @ Eunos,88,85,12,3
31/7/2020,(ADH) THK Home for Disabled @ Sembawang,180,115,27,65
31/8/2020,(ADH) THK Home for the Disabled @ Chai Chee,102,95,11,7
31/8/2020,(ADH) THK Home for the Disabled @ Eunos,88,84,12,4
31/8/2020,(ADH) MINDSVille @ Napiri,160,117,24,43
31/8/2020,(ADH) Red Cross Home for the Disabled,100,94,5,6
31/8/2020,(ADH) THK Home for Disabled @ Sembawang,180,118,28,62
30/9/2020,(ADH) Bishan Home for the Intellectually Disabled,132,124,1,8
30/9/2020,(ADH) Blue Cross Thong Kheng Home,116,93,4,23
30/9/2020,(ADH) MINDSVille @ Napiri,160,117,26,43
30/9/2020,(ADH) St Andrew's Adult Home (Sengkang),148,22,31,126
30/9/2020,(ADH) THK Home for Disabled @ Sembawang,180,117,34,63
31/1/2021,(ADH) MINDSVille @ Napiri,160,118,29,42
31/1/2021,(ADH) Red Cross Home for the Disabled,100,95,3,5
31/1/2021,(ADH) THK Home for the Disabled @ Chai Chee,102,95,13,7
31/10/2021,(ADH) Bishan Home for the Intellectually Disabled,132,124,3,8
31/10/2021,(ADH) MINDSVille @ Napiri,160,117,36,43
31/10/2021,(ADH) Red Cross Home for the Disabled,100,94,9,6
31/10/2021,(ADH) Singapore Cheshire Home,90,74,5,16
30/11/2021,(ADH) Blue Cross Thong Kheng Home,116,88,14,28
30/11/2021,(ADH) Metta Home for the Disabled,103,86,1,17
30/11/2021,(ADH) MINDSVille @ Napiri,160,119,36,41
30/11/2021,(ADH) Singapore Cheshire Home,90,74,6,16
30/11/2021,(ADH) THK Home for the Disabled @ Chai Chee,102,96,14,6
30/11/2021,(ADH) THK Home for the Disabled @ Eunos,88,76,17,12
31/12/2021,(ADH) Blue Cross Thong Kheng Home,116,88,15,28
31/12/2021,(ADH) MINDSVille @ Napiri,160,116,34,44
